wl,C,H,I,K
499.9,14.14,2.956,0.9425,0.647
508.2,14.93,2.384,1.562,0.938
516.5,9.948,2.789,1.531,0.9531
524.7,8.484,2.529,1.488,1.038
532.9,7.663,2.583,1.383,1.072
541.1,6.829,2.508,1.357,1.087
549.3,6.285,2.449,1.282,1.106
557.4,5.81,2.375,1.235,1.083
565.6,5.46,2.325,1.185,1.088
573.7,5.18,2.237,1.153,1.089
581.8,5.03,2.21,1.122,1.065
589.9,4.94,2.145,1.096,1.062
597.9,4.845,2.092,1.068,1.026
605.9,4.698,1.994,1.042,1.007
614,4.568,1.976,1.009,0.994
621.9,4.357,1.911,0.983,0.9701
629.9,4.2,1.863,0.9698,0.956
637.9,4.03,1.831,0.939,0.9408
645.8,3.955,1.788,0.9159,0.9339
653.7,3.81,1.757,0.8929,0.9166
661.6,3.705,1.718,0.8723,0.9024
669.4,3.613,1.679,0.8619,0.8827
677.3,3.518,1.645,0.8279,0.8689
685.1,3.461,1.625,0.8232,0.8547
692.9,3.345,1.568,0.7999,0.8427
700.7,3.258,1.534,0.7802,0.8233
708.4,3.175,1.493,0.7584,0.8044
716.2,3.06,1.461,0.7298,0.7746
723.9,2.97,1.405,0.7041,0.7584
731.5,2.905,1.363,0.6881,0.7256
739.2,2.792,1.314,0.6599,0.7101
746.9,2.71,1.283,0.6434,0.6791
754.5,2.626,1.256,0.6242,0.6715
762.1,2.563,1.212,0.6178,0.6511
769.6,2.454,1.198,0.5963,0.6332
777.2,2.434,1.15,0.5816,0.6189
784.7,2.388,1.143,0.5674,0.6098
792.2,2.324,1.126,0.5579,0.596
799.7,2.257,1.116,0.5451,0.5859
807.2,2.238,1.077,0.5355,0.5801
814.6,2.187,1.07,0.529,0.5581
822,2.176,1.037,0.5014,0.5586
829.4,2.142,1.016,0.5105,0.5438
836.8,2.057,0.9954,0.5002,0.5308
844.1,1.993,0.9873,0.481,0.5176
851.4,1.998,0.9617,0.4629,0.5127
858.7,1.93,0.9416,0.4553,0.5029
866,1.895,0.9504,0.4618,0.4928
873.2,1.896,0.9229,0.4344,0.4917
880.5,1.852,0.9109,0.4351,0.4696
887.6,1.767,0.9004,0.4293,0.4661
894.8,1.851,0.8648,0.4093,0.4451
902,1.689,0.9045,0.3928,0.4359
909.1,1.692,0.8399,0.3762,0.4325
916.2,1.619,0.8159,0.4037,0.3982
923.3,1.664,0.8184,0.3931,0.3897
930.3,1.679,0.8286,0.3861,0.3873
937.3,1.683,0.8254,0.3928,0.3926
944.3,1.662,0.785,0.3875,0.3863
951.3,1.52,0.7668,0.3945,0.3229
958.2,1.493,0.6951,0.3445,0.3806
965.2,1.415,0.8033,0.3509,0.3716
972.1,1.559,0.7084,0.3686,0.3479
978.9,1.477,0.7599,0.3252,0.3435
985.8,1.205,0.7761,0.2873,0.3006
992.6,1.215,0.5358,0.2502,0.3455
999.4,1.299,0.6284,0.371,0.2727
