SDS [mm],Rmax/Rmin [-]
9.41,1.0237138288471654
10.145,1.0314011918616632
10.88,1.039920087846614
11.615,1.0472668963792373
12.35,1.0560622548782144
13.085,1.0652818701646458
13.82,1.0758462486513547
14.555,1.0888565174454823
15.29,1.10020261372081
16.025,1.1089593359122314
16.76,1.1171368920124818
17.495,1.1162039582088252
18.23,1.1143835359592704
18.965,1.1089243123123633
19.7,1.1070963602453208
20.435,1.0996605270216873
21.17,1.07791681708094
21.905,1.0625118857901423
22.64,1.0424466297013057
23.375,1.0206892833889767
24.11,1.0103066029682197
24.845,1.0148262323185129
25.58,1.0248225606922081
26.315,1.0424709711877647
27.05,1.0356751715184909
27.785,1.0726745425157074
28.52,1.0619795676577426
29.255,1.115826996290148
29.99,1.195047659945939
30.725,1.2568684760505204
31.46,1.324676163283411
32.195,1.3741766776278523
32.93,1.5494261782312482
33.665,1.6495650095409382
34.4,1.6949557170347063
35.135,1.4882233533046176
35.87,1.3569122488573986
36.605,1.2375904008421212
37.34,1.3005164684493993
38.075,1.2677143074764372
38.81,1.6746936461140673
