SDS [mm],Rmax/Rmin [-]
5.735,1.2251847026446396
6.47,1.4195652227452886
7.205,1.7239741504363582
7.94,2.1812507302683075
8.675,2.8458518393630365
9.41,3.793317561454978
10.145,5.106010452923392
10.88,6.859240575170455
11.615,9.039322535903505
12.35,11.274149668918689
13.085,12.883088350468274
13.82,12.767420971375028
14.555,10.866942868633275
15.29,8.228806105980121
16.025,5.82759161231418
16.76,4.083893970121738
17.495,2.897142334648221
18.23,2.187720118423734
18.965,1.7481339698591367
19.7,1.4837943869557257
20.435,1.3196145411041766
21.17,1.2161706186339178
21.905,1.148269884314606
22.64,1.1175582667940327
23.375,1.1071159859054398
24.11,1.102968060923447
24.845,1.0878562602459354
25.58,1.0671746194041425
26.315,1.0609326582627294
27.05,1.0434619402328473
27.785,1.0588648195794568
28.52,1.0846354882755593
29.255,1.214918625071518
29.99,1.3634573202430647
30.725,1.702469547450395
31.46,1.8722159519143613
32.195,2.5412789539327614
32.93,3.746549980948663
33.665,5.157580933960158
34.4,8.016035498685364
35.135,19.66720842675209
35.87,38.85281971945448
36.605,82.48977736363292
37.34,12.406217971649744
38.075,99.28976779611385
38.81,145.1911325325618
39.545,349.77603040625854
40.28,1080.1928404054822
41.015,1460.0210102846424
41.75,826.4249242125716
42.485,553.0195668699216
43.22,201.2759765454411
43.955,549.4332674239394
