SDS [mm],Rmax/Rmin [-]
9.41,1.3195753907601886
10.145,1.4071179063604269
10.88,1.503821547698871
11.615,1.6042296627864405
12.35,1.7128144789393762
13.085,1.8134312388250489
13.82,1.9104539273675987
14.555,1.9854523328550187
15.29,2.032451097180509
16.025,1.999252290169783
16.76,1.906851591583192
17.495,1.7977738876853426
18.23,1.6996759871009934
18.965,1.6047569596735436
19.7,1.4449632103429138
20.435,1.3145778148878033
21.17,1.20035145265603
21.905,1.1266140602642316
22.64,1.08292023719792
23.375,1.0572057110378914
24.11,1.0554879152363663
24.845,1.0435654487688153
25.58,1.043338646051902
26.315,1.0395270646213997
27.05,1.0553689833867927
27.785,1.0467345795886918
28.52,1.060108465893371
29.255,1.0496315461885584
29.99,1.4449065013548328
30.725,1.7630560496015666
31.46,1.7812299316231226
32.195,2.1033059000087735
32.93,1.8686019332011312
33.665,2.135982616895109
34.4,1.8832656545274034
35.135,5.314527954617448
35.87,5.765290044558563
36.605,6.4203607794084
37.34,14.312257928230576
38.075,33.54160669456798
38.81,15.044499675895631
