SDS,Reflectance
5.735,1.6904869621485078e-06
6.47,8.697408259597349e-07
7.205,4.974959002457256e-07
7.94,3.0931674060579754e-07
8.675,2.0448526762854052e-07
9.41,1.411000064427618e-07
10.145,1.0020598728284465e-07
10.88,7.25587434757141e-08
11.615,5.323218436860275e-08
12.35,3.94650502692575e-08
13.085,2.9477799892779228e-08
13.82,2.2168903040832365e-08
14.555,1.6779394319441126e-08
15.29,1.2756046097380867e-08
16.025,9.740880675902627e-09
16.76,7.478739830888734e-09
17.495,5.766744114888304e-09
18.23,4.482659923675839e-09
18.965,3.5010374727819923e-09
19.7,2.7617843032886733e-09
20.435,2.193255074757483e-09
21.17,1.7573133265522843e-09
21.905,1.4212589008346864e-09
22.64,1.1607990622177162e-09
23.375,9.549060712108663e-10
24.11,7.885523087188192e-10
24.845,6.530951553598019e-10
25.58,5.311885142657039e-10
26.315,4.192362486504793e-10
27.05,3.113386205042738e-10
27.785,2.223959599811617e-10
28.52,1.5497722810631312e-10
29.255,1.0974858010535566e-10
29.99,8.107009546381671e-11
30.725,6.057790274298767e-11
31.46,4.621648252018048e-11
32.195,3.525278296905497e-11
32.93,2.7541796905022624e-11
33.665,2.1559729942828352e-11
34.4,1.6796866530228676e-11
35.135,1.2912507316404893e-11
35.87,9.98665843991196e-12
36.605,7.727419656090045e-12
37.34,6.079031463699045e-12
38.075,4.818197126529687e-12
38.81,3.8759250020670835e-12
39.545,3.165198728535995e-12
40.28,2.5153058000682167e-12
41.015,2.0006969436148042e-12
41.75,1.5463492382976821e-12
42.485,1.2692894965338263e-12
43.22,1.0253470425556637e-12
43.955,9.033440514356178e-13
