SDS,Reflectance
5.735,1.6823869241862962e-06
6.47,8.621747041943211e-07
7.205,4.906364988274617e-07
7.94,3.03161515297933e-07
8.675,1.9896244587621734e-07
9.41,1.3607584201695052e-07
10.145,9.572475502632265e-08
10.88,6.860863913939211e-08
11.615,4.983344320785561e-08
12.35,3.6539496437457266e-08
13.085,2.69820497946713e-08
13.82,2.0043225335009093e-08
14.555,1.496183231447996e-08
15.29,1.1219576173034974e-08
16.025,8.453592517903668e-09
16.76,6.403374897804044e-09
17.495,4.882100494895324e-09
18.23,3.749751718655766e-09
18.965,2.898027410828979e-09
19.7,2.262167492885745e-09
20.435,1.7840017982577781e-09
21.17,1.42766256722463e-09
21.905,1.1543660573612558e-09
22.64,9.465744519422242e-10
23.375,7.839323029707191e-10
24.11,6.52960686332493e-10
24.845,5.42337564963066e-10
25.58,4.4047102808114e-10
26.315,3.432407754311397e-10
27.05,2.514422713999254e-10
27.785,1.7336013293818443e-10
28.52,1.1661344925748216e-10
29.255,7.84640231292112e-11
29.99,5.491742556636141e-11
30.725,3.989032035166108e-11
31.46,2.973389218065449e-11
32.195,2.2376077263220854e-11
32.93,1.6946120963432194e-11
33.665,1.2958568334814997e-11
34.4,9.983268468570948e-12
35.135,7.740105687972148e-12
35.87,6.008850061146216e-12
36.605,4.644203006570537e-12
37.34,3.590240102355705e-12
38.075,2.7845285263183122e-12
38.81,2.1777186461879205e-12
39.545,1.7213323572160818e-12
40.28,1.3628093859719369e-12
41.015,1.089515382519861e-12
41.75,8.961988736574411e-13
42.485,7.209135364499482e-13
43.22,6.658281879809006e-13
43.955,5.910625796230545e-13
