SDS [mm],Rmax/Rmin [-]
9.41,1.0272898819470162
10.145,1.034825211217494
10.88,1.0437588651406355
11.615,1.0528564104654967
12.35,1.062124368485144
13.085,1.0725794459639846
13.82,1.0831350257526429
14.555,1.0956130688004757
15.29,1.1083434599723918
16.025,1.1219962692409
16.76,1.134764536842433
17.495,1.1486170380328007
18.23,1.161186114341142
18.965,1.173703616501033
19.7,1.1823877231178845
20.435,1.1877052968756936
21.17,1.1913636023798337
21.905,1.191770293601301
22.64,1.1925263112550097
23.375,1.1833810193987988
24.11,1.1708704810472932
24.845,1.148279551650826
25.58,1.136638142994354
26.315,1.1286776635520275
27.05,1.134414849393726
27.785,1.1525689691098686
28.52,1.2030962309799862
29.255,1.2730537666879842
29.99,1.3227677429280917
30.725,1.3803813948247114
31.46,1.4347577963562552
32.195,1.4614494871462602
32.93,1.4793845898308002
33.665,1.5184891309525865
34.4,1.5633159474636125
35.135,1.5814068055468784
35.87,1.5717142845182817
36.605,1.597628200854929
37.34,1.5641182417792254
38.075,1.610892612658068
38.81,1.5779583857143011
