SDS [mm],Rmax/Rmin [-]
9.41,1.0029865320604001
10.145,1.0040842479127072
10.88,1.0058259649287706
11.615,1.0063316191036729
12.35,1.008052596947509
13.085,1.0099971770609995
13.82,1.01161067098728
14.555,1.0141972937617634
15.29,1.0167503329848988
16.025,1.0221251727348672
16.76,1.0243488420195856
17.495,1.0235496502305441
18.23,1.0223881008049227
18.965,1.0232423232125387
19.7,1.0340823581517018
20.435,1.037793285201015
21.17,1.0448985343353467
21.905,1.0411364682465643
22.64,1.0390950711069546
23.375,1.0465128747583725
24.11,1.0366353823770431
24.845,1.0499184412106004
25.58,1.0361200291558084
26.315,1.0486342026154774
27.05,1.0443203893527464
27.785,1.0559849159165093
28.52,1.0868215335951772
29.255,1.0744828363413208
29.99,1.0690049896243194
30.725,1.1008799603996455
31.46,1.1271773886494942
32.195,1.1364063063803085
32.93,1.1355738011866023
33.665,1.158209065969252
34.4,1.1570976817324297
35.135,1.1495509688729502
35.87,1.1598874780443775
36.605,1.1853972628325218
37.34,1.1918713190122365
38.075,1.2388200794371635
38.81,1.310960068370396
