SDS [mm],Rmax/Rmin [-]
9.41,1.3971071302402522
10.145,1.484085832031205
10.88,1.5750133690574468
11.615,1.672158298605673
12.35,1.7714552824320193
13.085,1.8825165696608601
13.82,1.9948449790744416
14.555,2.11496431442713
15.29,2.225504223900654
16.025,2.348512814174359
16.76,2.475443585804294
17.495,2.597432780166347
18.23,2.716380636705598
18.965,2.829101368855567
19.7,2.9237937179191387
20.435,2.999944554123136
21.17,3.0533872744346535
21.905,3.1006903123614924
22.64,3.1250809265791166
23.375,3.1230738073694524
24.11,3.105315722503163
24.845,3.093977734809156
25.58,3.1089202744070934
26.315,3.1729541924319355
27.05,3.2920106125987587
27.785,3.537035267287507
28.52,3.806253102427166
29.255,4.100823842944836
29.99,4.397084483808847
30.725,4.599904449508702
31.46,4.688648194480342
32.195,4.817989797841383
32.93,4.863562593918553
33.665,4.86062923217178
34.4,4.962084523101564
35.135,4.898110513124917
35.87,5.025316513089871
36.605,4.9158153907230115
37.34,5.096679377083341
38.075,5.001510725147065
38.81,5.326710371232434
