SDS [mm],Rmax/Rmin [-]
5.735,1.2250693381516944
6.47,1.419383656626774
7.205,1.723195104176991
7.94,2.180349894997311
8.675,2.844672829560702
9.41,3.7920876976650826
10.145,5.102189732057395
10.88,6.862356269587741
11.615,9.039119298028668
12.35,11.2897987198412
13.085,12.916564810349735
13.82,12.87660318662696
14.555,10.949812301892583
15.29,8.25823169086314
16.025,5.812110160948773
16.76,4.048744977412293
17.495,2.8721767220308836
18.23,2.159028827811037
18.965,1.738086438948636
19.7,1.47570852289138
20.435,1.3088665997470117
21.17,1.2034643000990717
21.905,1.1354130712454116
22.64,1.1187375700355373
23.375,1.109806077253018
24.11,1.1032193734593536
24.845,1.0914093143754602
25.58,1.0681769393577376
26.315,1.069498224975781
27.05,1.0257417780631397
27.785,1.03682290661813
28.52,1.0479685391372735
29.255,1.1694207603104638
29.99,1.3026642500537355
30.725,1.6556413240651764
31.46,1.7641605058136498
32.195,2.4741385363355386
32.93,3.903796797968949
33.665,6.826756353901105
34.4,6.046802375059068
35.135,30.002065142392848
35.87,61.260572160483704
36.605,43.45013393433881
37.34,5.9069546970411295
38.075,40.685438484609655
