,wavelength,oxy,deoxy,water,fat,collagen,mel,musp
0,650,1.9706,20.081,0.0032,0.00471,0.0752,283.49,22.209
1,651,1.9406,19.794,0.0032380000000000004,0.00472,0.07405,282.04,22.132
2,652,1.9106,19.506,0.003276,0.0046700000000000005,0.0729,280.61,22.055
3,653,1.8806,19.218,0.003314,0.00464,0.07175,279.18,21.978
4,654,1.8506,18.93,0.0033520000000000004,0.00457,0.0706,277.76,21.902
5,655,1.8228,18.642,0.00339,0.00448,0.06945,276.35,21.826
6,656,1.7949,18.355,0.003428,0.004379999999999999,0.068722,274.95,21.751
7,657,1.7692,18.067,0.0034659999999999995,0.00428,0.067994,273.56,21.677
8,658,1.7435,17.779,0.003504,0.00424,0.06726599999999999,272.18,21.602
9,659,1.7275,17.528,0.003542,0.004220000000000001,0.066538,270.8,21.529
10,660,1.7114,17.278,0.00358,0.00418,0.06581000000000001,269.44,21.455
11,661,1.6964,17.047,0.003618,0.00414,0.06538200000000001,268.08,21.383000000000006
12,662,1.6814,16.816,0.003656,0.00413,0.06495400000000001,266.74,21.31
13,663,1.6664,16.585,0.003694,0.00414,0.064526,265.4,21.239
14,664,1.6514,16.352999999999998,0.003732,0.00419,0.064098,264.07,21.167
15,665,1.6364,16.122,0.00377,0.00428,0.06367,262.75,21.096
16,666,1.6214,15.890999999999998,0.003808,0.00439,0.063486,261.44,21.026
17,667,1.6086,15.66,0.003846,0.00447,0.063302,260.14,20.956
18,668,1.5957,15.429,0.003884,0.004520000000000001,0.06311800000000001,258.84,20.886
19,669,1.585,15.198,0.003922,0.004529999999999999,0.062934,257.56,20.817
20,670,1.5743,14.967,0.00396,0.0045,0.06275,256.28,20.748
21,671,1.5636,14.736,0.003998,0.004520000000000001,0.062248000000000005,255.01,20.68
22,672,1.5529,14.505,0.004036,0.00457,0.061746,253.75,20.612
23,673,1.5411,14.288,0.004074,0.00462,0.06124400000000001,252.49,20.545
24,674,1.5293,14.071,0.004111999999999999,0.00463,0.060742,251.25,20.478
25,675,1.5197,13.875,0.00415,0.00457,0.06024,250.01,20.411
26,676,1.5101,13.678,0.004224,0.00446,0.060114,248.78,20.345
27,677,1.5026,13.482,0.004298,0.00433,0.059988,247.56,20.279
28,678,1.4951,13.286,0.004372,0.004220000000000001,0.059862,246.35,20.214
29,679,1.4908,13.09,0.004446,0.00413,0.059736,245.14,20.149
30,680,1.4865,12.894,0.004520000000000001,0.00406,0.05961,243.94,20.084
31,681,1.4822,12.698,0.004594,0.00398,0.058986,242.75,20.02
32,682,1.4779,12.502,0.004668,0.00387,0.058362,241.57,19.956
33,683,1.4737,12.306,0.0047420000000000006,0.00375,0.057738,240.39,19.893
