wl,mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm)
725.0,2.2351199469474574,2.818194715716359,1.813032670090332,2.285997714461723
726.0,2.243726443252879,2.829046384971021,1.8340347982396328,2.3124786586499715
727.0,2.251517984101964,2.8388705016937807,1.8556037578765014,2.3396743034095016
728.0,2.2576613437173263,2.8466164768609765,1.8773739664042646,2.3671236967705944
729.0,2.2625870343946217,2.852827130323653,1.8990248376090166,2.3944226213331077
730.0,2.2717342099492157,2.864360525588141,1.920713134568896,2.4217687348912165
731.0,2.28945433317964,2.886703289661285,1.9425581946069128,2.4493125062434986
732.0,2.310739461297384,2.9135410598967013,1.9640523027335277,2.476413773011839
733.0,2.330133194766152,2.937994028183409,1.9850386958706019,2.5028748774020633
734.0,2.3497447126455526,2.9627215942052616,2.0073914708981593,2.5310588111324615
735.0,2.3727680336437356,2.991750998942101,2.033095814447715,2.5634686356079883
736.0,2.3991709564671115,3.025041640762879,2.062550412198599,2.6006070414677986
737.0,2.4281222893710597,3.061545495293945,2.0953586389127654,2.6419739360204435
738.0,2.4588210988085724,3.100252689802113,2.1295291266348477,2.6850584640178514
739.0,2.491024314246621,3.140856744050087,2.1631857180435397,2.727495035794028
740.0,2.526690059010498,3.1858265961436714,2.1965078410710963,2.7695098865679038
741.0,2.567211208215945,3.236918479924452,2.230009392030907,2.811750972560709
742.0,2.6095184502821924,3.2902623938340683,2.2634865555073453,2.853961309117957
743.0,2.6506263096513907,3.342094042603927,2.296759903568155,2.895914661020717
744.0,2.6923468415538854,3.394698191524464,2.3304652699435935,2.938412731668009
745.0,2.7371159733421084,3.451146227257441,2.3652989605966144,2.9823334720566
746.0,2.785067590068647,3.511606961390903,2.4013839087584454,3.0278318849563006
747.0,2.8353601043213317,3.575019261970374,2.4385767712461566,3.074727233310371
748.0,2.885552081128803,3.638304797945012,2.4762424719519,3.12221876898283
749.0,2.9345687317133224,3.7001084008559273,2.5137655870971205,3.1695305228615864
750.0,2.9884016996308187,3.7679847517084233,2.5511010351453542,3.2166056530093594
751.0,3.050867370080988,3.846745814449941,2.588391401657123,3.26362394121985
752.0,3.110014662504928,3.9213228353323,2.625959598338809,3.3109925370358892
753.0,3.154404749207174,3.977292944652524,2.663850706726877,3.3587682823947578
754.0,3.1904152797046175,4.022697526584083,2.7008181615322626,3.405379421062418
755.0,3.226289944361673,4.067930799412544,2.735554069953933,3.4491768708114807
756.0,3.2599201197204977,4.11033406399541,2.767796875968512,3.4898308436124714
757.0,3.288040216860413,4.145789838650085,2.7978081637704135,3.527671163014869
758.0,3.313109098831637,4.177398428961628,2.826895741647555,3.564346804686047
759.0,3.337860722588825,4.208606998046779,2.8563061467179627,3.6014294893400396
760.0,3.360404968733473,4.237032351881335,2.8859946073265976,3.638862765759623
761.0,3.378590493712173,4.259961926854478,2.9156382962801923,3.6762395909619814
762.0,3.393845133705076,4.279196038149879,2.9450934730056404,3.7133787268331986
763.0,3.408253638389761,4.297363283187089,2.974404909157984,3.750336624590501
764.0,3.422949231699936,4.315892509534701,3.0041923386846836,3.7878946879067743
765.0,3.4386694273666496,4.335713625810123,3.0350919927061706,3.826855121238215
766.0,3.455520424054143,4.356960534676962,3.0672311287423293,3.8673783797185886
767.0,3.4733443929957137,4.379434234646769,3.1004825033930214,3.9093040260172875
768.0,3.4915587107676966,4.402400113576661,3.134209843178578,3.9518298022686413
769.0,3.5096090098644193,4.425159186350789,3.1677934000317887,3.9941742869966026
770.0,3.5274787411091584,4.447690586615894,3.201188557614827,4.036281224818694
771.0,3.545317141130662,4.470182482295182,3.2345390988600378,4.078331907258308
772.0,3.563398771450619,4.492981059655128,3.2681672720510755,4.120732647368747
773.0,3.5817549632922634,4.516125823281549,3.302117693525766,4.163539700532487
774.0,3.59931880179208,4.5382715326943615,3.335145986487324,4.2051840699188
775.0,3.614929242443193,4.557954262210983,3.365944921557443,4.24401750978982
776.0,3.628146968252056,4.574620090404766,3.3942448521663673,4.279700030992376
777.0,3.6391942935621158,4.588549326665276,3.420305174016233,4.3125586976726416
778.0,3.6502183305514766,4.602449199390992,3.4454638690882042,4.344280530589474
779.0,3.663123842687247,4.618721366866527,3.47097556504669,4.376447451580608
780.0,3.6769214007578745,4.636118287912102,3.496682886010041,4.408861030186573
781.0,3.690308493105326,4.652997665219758,3.522232831091747,4.441076178333072
782.0,3.703624470964272,4.669787376433212,3.5479019029318786,4.473441529783672
783.0,3.7172798000578906,4.6870049652903845,3.573847477412085,4.506155514997847
784.0,3.7303275411706696,4.703456464954322,3.5991209198537155,4.538022029380771
785.0,3.741763480829045,4.71787569321923,3.6227069917957055,4.567760989655454
786.0,3.751711713465954,4.730419116978811,3.644430050207649,4.595150932870514
787.0,3.760688365127788,4.741737503856776,3.6644999939472096,4.620456514107351
788.0,3.7696493804082634,4.753036175297375,3.6838292939936776,4.644828240252897
789.0,3.7794163859970507,4.765351095387585,3.7033323291984455,4.669419023771953
790.0,3.7898339184203405,4.7784862449647765,3.7232285377797063,4.6945055476352815
791.0,3.800376846253539,4.79177950179794,3.7433441845791577,4.719868754469372
792.0,3.810018456432417,4.803936314632177,3.762627781565735,4.744182855017665
793.0,3.8186333535470642,4.8147985762115155,3.780859890521245,4.767171166309396
794.0,3.8302029944444937,4.829386384299579,3.802027025351763,4.793860162400049
795.0,3.8496178381296793,4.853865969815682,3.831120598466958,4.830543363284425
796.0,3.8812974999825114,4.893809891282297,3.8729456641666147,4.88327931568834
797.0,3.925129196445557,4.949075943344398,3.927455632923261,4.952009276294547
798.0,3.9633413918371674,4.997256537533819,3.9753836980102895,5.0124403148825385
799.0,3.9809996387733992,5.019521283670807,4.000597522539433,5.044231658854067
800.0,3.9921765951853363,5.0336139678423795,4.0187228661749215,5.0670853530031605
801.0,4.0127180829703,5.059514104614726,4.04705657345406,5.102810462181205
802.0,4.036555474575545,5.089569946203946,4.077821731853964,5.141601314076737
803.0,4.054735892158705,5.112493081417497,4.100317487183658,5.169965527318525
804.0,4.068683906169016,5.130079707778324,4.1172209756399925,5.19127862145912
805.0,4.082522720979553,5.147528648191609,4.134339147556549,5.212862403440865
806.0,4.10079262836714,5.170564618375958,4.156620219426022,5.240955928841505
807.0,4.125819034994515,5.202119652819171,4.1863119605248125,5.2783933415312845
808.0,4.150650719664325,5.2334291682724094,4.215719085105064,5.31547188991508
809.0,4.168553356206548,5.256002057825647,4.237430923937456,5.342847686703749
810.0,4.182936826420589,5.274137737660741,4.2551183288910925,5.365149197297464
811.0,4.198607590598976,5.29389652727697,4.274014132977206,5.388974341579956
812.0,4.215814215037317,5.315591836351398,4.294517572677122,5.414826504679848
813.0,4.233343316003817,5.337693746265683,4.315420248858359,5.441182052908366
814.0,4.248691603654044,5.357045935042056,4.33391681646315,5.464503812062232
815.0,4.2610908962928224,5.372679825760515,4.349115548462843,5.4836674306705415
816.0,4.278003350934681,5.394004225091554,4.369376135870576,5.509213388706378
817.0,4.305923894531812,5.429208388757502,4.401936338670046,5.550267557453536
818.0,4.339248195077349,5.471225985097527,4.440294774685427,5.598632541994668
819.0,4.371139648956335,5.511436948684075,4.476584243450911,5.6443888286989745
820.0,4.401931825080482,5.550261866405826,4.511213413500278,5.688051695282959
821.0,4.433370456767508,5.589901880272075,4.546251252083429,5.732229839583453
822.0,4.465679762432455,5.630639700458311,4.58213205231513,5.777470848571251
823.0,4.498348788605471,5.671831081285158,4.618447145661603,5.823259444529847
824.0,4.529447409179774,5.7110423854875405,4.653050691129981,5.866890001859542
825.0,4.557064558423223,5.745864008446672,4.6837846786898565,5.905641551391557
826.0,4.580784584739146,5.775771867714575,4.710179594619723,5.9389220975639985
827.0,4.600986269010255,5.801243556578146,4.732657562996812,5.967263883778589
828.0,4.619730707901268,5.8248778490929025,4.7535187627843545,5.9935671356846205
829.0,4.6389848982329305,5.849154871684999,4.774956424619491,6.020597231041967
830.0,4.658657121668042,5.873958979494486,4.7968579309489865,6.0482121738052435
831.0,4.678237626765953,5.898647442444028,4.818646819725246,6.075685120523136
832.0,4.697603244830163,5.923064960872813,4.840197099113618,6.1028572119258655
833.0,4.716845694197869,5.947327179640791,4.861621386667335,6.129870444058813
834.0,4.736529658596936,5.972146091274396,4.883536267278249,6.1575022500464875
835.0,4.757221548216464,5.9982358651424965,4.906560223328343,6.186532455500954
836.0,4.779021713699801,6.02572303031714,4.9308153598214846,6.217115018905349
837.0,4.801808712811677,6.054454463979939,4.956177582413145,6.249093473477442
838.0,4.82503999134806,6.083746076047553,4.9820343767433215,6.281695518502448
839.0,4.848171957173006,6.112912467739878,5.007771147260823,6.31414622915495
840.0,4.871077978391665,6.141793972754708,5.033253393665158,6.346276018099546
841.0,4.893857367715471,6.170515811467333,5.058601139769002,6.378236219708742
842.0,4.917096256039924,6.199817018485121,5.084472410586996,6.410856517696646
843.0,4.940913884236621,6.2298479409939995,5.1110017064196285,6.444306499398661
844.0,4.963075114897483,6.257790362262045,5.135691427508832,6.4754370172937445
845.0,4.981225778505476,6.280675981593862,5.155913586650663,6.500934522298662
846.0,4.994889955387423,6.297904726358056,5.1711507469162585,6.520146593937891
847.0,5.00453228065545,6.310062440826437,5.181930545874386,6.533738514363355
848.0,5.012501358719043,6.320110408819663,5.190850368809273,6.544985247629083
849.0,5.021046075221752,6.330884181801338,5.200397614839086,6.557023079579716
850.0,5.030132471446012,6.342340942258015,5.210549990702288,6.569823901320275
851.0,5.039184908952708,6.3537548852012415,5.22068007330395,6.58259661416585
852.0,5.047743874777631,6.3645466247196225,5.230249612595301,6.594662555011467
853.0,5.055843327638345,6.374758978326608,5.239280901837879,6.606049832752107
854.0,5.0653749875046,6.386777158157974,5.249949234488316,6.619501208702658
855.0,5.078349712564685,6.403136594103299,5.264516577511027,6.637868728166078
856.0,5.095397152628819,6.424631192445032,5.28343859170644,6.661726919977684
857.0,5.116300116672255,6.450987103630234,5.306263700533558,6.690506405020572
858.0,5.138835258708428,6.479400978371496,5.3307176842496755,6.721339688836546
859.0,5.160828974726302,6.507132185524466,5.354621165138727,6.751478860392308
860.0,5.182312783578734,6.534220466251447,5.377996776792909,6.780952457695406
861.0,5.203833038632864,6.561354700884915,5.4013950220392815,6.81045459300605
862.0,5.22579030844904,6.589039954131398,5.425275869336143,6.840565226554267
863.0,5.248145683151143,6.617227165712311,5.449616685091297,6.871255820332505
864.0,5.269248123923998,6.643834591034606,5.472554961879378,6.900177995413128
865.0,5.287369801403894,6.666683662639693,5.4921532596001095,6.924888892539268
866.0,5.302087852972077,6.685241205921314,5.508014281286804,6.944887572057274
867.0,5.31372605664036,6.699915462720454,5.520523062722852,6.9606595138679435
868.0,5.324289786197928,6.713234947814778,5.531653827558421,6.974693956486704
869.0,5.3356622034855015,6.727574082655633,5.543281344402177,6.9893547385940495
870.0,5.347556026772616,6.742570642452429,5.555293373830038,7.004500340916135
871.0,5.359300534096704,6.757378934295843,5.5671931638338155,7.019504423964375
872.0,5.370861686138,6.771956039043565,5.578932920101654,7.034306725345563
873.0,5.382393726208374,6.786496437393166,5.590624882057642,7.0490487643335475
874.0,5.394167345503386,6.801341435634703,5.602572466373271,7.064113109774993
875.0,5.40643327674026,6.816807175020327,5.615069712634057,7.079870507234245
