wl,mua (1/cm)
725.0,0.5209598214285714
726.0,0.5209122285714286
727.0,0.5208620071428571
728.0,0.5208096
729.0,0.52075545
730.0,0.5206999999999999
731.0,0.5206436928571428
732.0,0.5205869714285714
733.0,0.5205302785714286
734.0,0.5204740571428572
735.0,0.52041875
736.0,0.5203648
737.0,0.5203126499999999
738.0,0.5202627428571428
739.0,0.5202155214285714
740.0,0.5201714285714286
741.0,0.5201309071428571
742.0,0.5200944000000001
743.0,0.52006235
744.0,0.5200352
745.0,0.5200133928571429
746.0,0.5199973714285714
747.0,0.5199875785714286
748.0,0.5199844571428571
749.0,0.51998845
750.0,0.52
751.0,0.52001955
752.0,0.5200475428571429
753.0,0.5200844214285715
754.0,0.5201306285714286
755.0,0.5201866071428571
756.0,0.5202528000000001
757.0,0.5203296500000001
758.0,0.5204176
759.0,0.5205170928571429
760.0,0.5206285714285714
761.0,0.5207524785714286
762.0,0.5208892571428573
763.0,0.52103935
764.0,0.5212032
765.0,0.5213812500000001
766.0,0.5215739428571429
767.0,0.5217817214285715
768.0,0.5220050285714286
769.0,0.5222443071428572
770.0,0.5225000000000001
771.0,0.52277255
772.0,0.5230624
773.0,0.5233699928571429
774.0,0.5236957714285714
775.0,0.5240401785714285
776.0,0.5244036571428572
777.0,0.52478665
778.0,0.5251896000000001
779.0,0.5256129500000001
780.0,0.5260571428571429
781.0,0.5265226214285714
782.0,0.5270098285714285
783.0,0.5275192071428572
784.0,0.5280512
785.0,0.52860625
786.0,0.5291848
787.0,0.5297872928571429
788.0,0.5304141714285714
789.0,0.5310658785714286
790.0,0.5317428571428571
791.0,0.5324455499999999
792.0,0.5331744
793.0,0.5339298499999999
794.0,0.5347123428571429
795.0,0.5355223214285715
796.0,0.5363602285714286
797.0,0.5372265071428571
798.0,0.5381216
799.0,0.53904595
800.0,0.54
801.0,
802.0,
803.0,
804.0,
805.0,
806.0,
807.0,
808.0,
809.0,
810.0,
811.0,
812.0,
813.0,
814.0,
815.0,
816.0,
817.0,
818.0,
819.0,
820.0,
821.0,
822.0,
823.0,
824.0,
825.0,
826.0,
827.0,
828.0,
829.0,
830.0,
831.0,
832.0,
833.0,
834.0,
835.0,
836.0,
837.0,
838.0,
839.0,
840.0,
841.0,
842.0,
843.0,
844.0,
845.0,
846.0,
847.0,
848.0,
849.0,
850.0,
851.0,
852.0,
853.0,
854.0,
855.0,
856.0,
857.0,
858.0,
859.0,
860.0,
861.0,
862.0,
863.0,
864.0,
865.0,
866.0,
867.0,
868.0,
869.0,
870.0,
871.0,
872.0,
873.0,
874.0,
875.0,
